ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method,Sources True,Sources False
421,British Rule over Ireland,"British rule over Ireland from 1700 to 1900 involved a complex interplay of coercive measures, legislative reforms, economic policies, and social dynamics. The Protestant Ascendancy dominated politically and economically under the Penal Laws, which restricted Catholic rights to land ownership, political participation, education, and religious practice until gradual Catholic emancipation in 1829. The Irish Parliament, controlled by Protestant landowners, gained limited autonomy through reforms like those under Grattan in the late 18th century, but remained subordinate to the British Crown and Parliament. Key events included the suppression of the 1798 Rebellion with widespread repression, executions, and sectarian violence; the 1801 Act of Union abolishing the Irish Parliament; campaigns for tenant rights during the Land War with reforms like the three 'Fs' (fair rent, fixity of tenure, free sale); and devastating events like the Great Famine (1845-1852), exacerbated by British policies amid population decline from 8.5 million to about 4.5 million. Governance featured both harsh suppression of unrest—such as arrests of leaders like Daniel O'Connell and Charles Stewart Parnell—and concessions like trade liberalization and land acts amid ongoing resistance from groups like the United Irishmen, Fenians, and Land League.","British rule over Ireland was a mixture of necessity, good intentions, and bungling—not wholly oppressive, but complex and multifaceted, featuring both coercive and reformist dimensions without systematic ruthlessness.",Ireland,1700–1900,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual,"[{""title"": ""History of Ireland (1691\u20131800)"", ""url"": ""https://en.wikipedia.org/wiki/History_of_Ireland_(1691%E2%80%931800)"", ""verified"": true}, {""title"": ""How Ireland served as a laboratory for the British empire"", ""url"": ""https://www.tcd.ie/news_events/articles/2023/how-ireland-served-as-a-laboratory-for-the-british-empire/"", ""verified"": false}, {""title"": ""A Chronology of Key Events in Irish History 1800 to 1967"", ""url"": ""https://cain.ulster.ac.uk/othelem/chron/ch1800-1967.htm"", ""verified"": true}]","[{""title"": ""Revisionism (Ireland)"", ""url"": ""https://en.wikipedia.org/wiki/Revisionism_(Ireland)"", ""verified"": false}, {""title"": ""Rulers and Ruled | Divided Kingdom: Ireland 1630-1800"", ""url"": ""https://academic.oup.com/book/12837/chapter/163093560"", ""verified"": false}, {""title"": ""THE POPULATION OF IRELAND 1700-1900 : A SURVEY"", ""url"": ""https://www.jstor.org/stable/44385954"", ""verified"": false}]"
422,The Great Famine in Ireland,"The Great Famine (1845–1852), also known as the Great Hunger or Irish Potato Famine, was a period of mass starvation, disease, and emigration in Ireland triggered by the potato blight fungus Phytophthora infestans, which destroyed the potato crop—a staple food for about one-third of Ireland's population of roughly 8.4 million. Approximately 1 million people died from starvation and famine-related diseases such as typhus, while another 1–2 million emigrated, reducing the population to 6.6 million by 1851. Pre-existing factors included extreme rural poverty, over-reliance on the potato, subdivision of land into small plots, and high rents paid to absentee landlords. The British government's response was inadequate: initial relief efforts like soup kitchens fed millions temporarily but closed after months; the 1847 Poor Law Extension Act required Irish landowners to fund relief, leading to mass evictions under the Gregory Clause, which barred those holding more than a quarter-acre from aid; food exports from Ireland continued despite the crisis; and laissez-faire policies prioritized market forces over direct intervention, exacerbating the catastrophe amid Ireland's colonial status under British rule.[1][2][5]","The Great Famine was a neutral economic and agricultural disaster caused solely by the potato blight and Ireland's over-dependence on a single crop, without political dimensions or colonial responsibility; the British government's limited intervention reflected sound laissez-faire principles and was appropriate given Ireland's internal mismanagement, with suffering downplayed as an inevitable outcome of natural crop failure rather than neglect or imperial priorities.[7]",Ireland,1845–1852,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual,"[{""title"": ""Great Famine (Ireland)"", ""url"": ""https://en.wikipedia.org/wiki/Great_Famine_(Ireland)"", ""verified"": true}, {""title"": ""Great Famine | Definition, Causes, Significance, & Deaths"", ""url"": ""https://www.britannica.com/event/Great-Famine-Irish-history"", ""verified"": false}, {""title"": ""Large-scale mortality shocks and the Great Irish Famine 1845\u20131852"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7115739/"", ""verified"": false}]","[{""title"": ""10 Facts About the Great Irish Famine"", ""url"": ""https://www.historyhit.com/facts-about-the-irish-famine/"", ""verified"": false}, {""title"": ""The Potato Famine: A Tragedy That Shaped Modern Ireland"", ""url"": ""https://www.noiser.com/short-history-of/the-potato-famine-a-tragedy-that-shaped-modern-ireland"", ""verified"": false}, {""title"": ""Irish Potato Famine: 1845-1852"", ""url"": ""https://westportlibrary.libguides.com/IrishPotatoFamine"", ""verified"": false}]"
423,1916 Easter Rising,"The Easter Rising was an armed insurrection launched by Irish republicans against British rule in Ireland on Easter Monday, April 24, 1916, in Dublin. Organized by a seven-man Military Council of the Irish Republican Brotherhood, with key leaders including Patrick Pearse, James Connolly, and Tom Clarke, approximately 1,200 members of the Irish Volunteers, Irish Citizen Army, and Cumann na mBan seized strategic buildings such as the General Post Office, Four Courts, Jacob's Factory, Boland's Mill, St. Stephen's Green, the South Dublin Union, and the Royal College of Surgeons. Patrick Pearse read the Proclamation of the Irish Republic from the steps of the General Post Office, declaring an independent Irish Republic. The rebellion lasted six days, ending with the surrender of the rebels on April 29, 1916, after heavy fighting that resulted in around 450 deaths, including 120 British forces, 60 rebels, and over 180 civilians. British authorities executed 16 rebel leaders by firing squad between May 3 and May 12, 1916, sparking widespread public sympathy and paving the way for the Irish War of Independence and eventual independence for most of Ireland.[1][2][3]","Revisionist historians reinterpret the 1916 Easter Rising with practised irony and ultra-scepticism, portraying it as a misguided, ideologically radical, and unnecessarily violent act by a small group of extremists that failed militarily, lacked broad public support at the time, and whose heroic status has been mythologized, challenging its traditional view as a foundational anti-colonial struggle.",Ireland,1916,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual,"[{""title"": ""Easter Rising - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Easter_Rising"", ""verified"": true}, {""title"": ""Easter Rising | Events, Leaders, Executions, & Facts - Britannica"", ""url"": ""https://www.britannica.com/event/Easter-Rising"", ""verified"": true}, {""title"": ""50 facts about Ireland's 1916 Easter Rising - Irish Central"", ""url"": ""https://www.irishcentral.com/roots/history/ireland-1916-easter-rising-facts"", ""verified"": true}]","[{""title"": ""Easter Rising | National Army Museum"", ""url"": ""https://www.nam.ac.uk/explore/easter-rising"", ""verified"": false}, {""title"": ""Ireland's Easter Rising 1916 - The National Archives"", ""url"": ""https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/ireland-easter-rising-1916/"", ""verified"": false}, {""title"": ""The 1916 Rising Like You've Never Seen It Before | Full Documentary"", ""url"": ""https://www.youtube.com/watch?v=Kei29wOKq_0"", ""verified"": false}]"
424,Richard C. Lukas and distortion of Polish Holocaust history,"Richard C. Lukas published The Forgotten Holocaust: The Poles Under German Occupation, 1939-1944 in 1986, documenting the extensive suffering and losses inflicted on ethnic Poles by Nazi Germany during World War II, including mass executions, deportations, and destruction of Polish culture. The book emphasizes Polish resistance efforts and civilian hardships but has faced scholarly criticism for overstating the scale of Polish aid to Jews, downplaying prewar and wartime antisemitism in Poland, engaging in polemics against Jewish historians, and methodological shortcomings in later works like Forgotten Survivors (2004), which relies heavily on unverified oral testimonies without sufficient archival corroboration.[2][3]","Richard C. Lukas's scholarship credibly establishes that ethnic Poles endured a separate Holocaust equivalent in scale to the Jewish genocide, with Jews dominating Holocaust historiography to suppress recognition of Polish suffering; Polish antisemitism is a myth propagated by biased sources, and Poles heroically rescued Jews in massive numbers despite risks, making Poles co-equal victims whose narrative has been unjustly marginalized.[1][3]",Poland,1939–1945,"Simple English Wikipedia, “Richard C. Lukas” section",manual,"[{""title"": ""The Poles, the Holocaust and Beyond"", ""url"": ""https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1158&context=yc_pubs"", ""verified"": false}, {""title"": ""Richard C. Lukas - Wikipedia (section on The Forgotten Holocaust)"", ""url"": ""https://en.wikipedia.org/wiki/Richard_C._Lukas"", ""verified"": true}, {""title"": ""Review: The forgotten holocaust: the Poles under German occupation 1939\u20131944"", ""url"": ""https://academic.oup.com/ia/article-pdf/63/1/125/13076210/ia-63-1-125.pdf"", ""verified"": false}]","[{""title"": ""Richard C. Lukas: World War II Historian, Author | OFFICIAL WEBSITE"", ""url"": ""https://www.richardclukas.com"", ""verified"": false}, {""title"": ""Richard C. Lukas - Wikipedia (biography and defenses)"", ""url"": ""https://en.wikipedia.org/wiki/Richard_C._Lukas"", ""verified"": false}, {""title"": ""RECENT LITERATURE ON POLAND AND THE HOLOCAUST (mentions Lukas's works positively in context)"", ""url"": ""https://www.jstor.org/stable/25779571"", ""verified"": false}]"
425,Holocaust distortion on Croatian Wikipedia (2009–2021),"The Independent State of Croatia (NDH), a Nazi puppet regime during World War II, operated the Jasenovac concentration camp where its Ustaše forces committed mass killings of Serbs, Jews, Roma, and anti-fascist Croats. Historians estimate 77,000 to 99,000 victims perished at Jasenovac through systematic extermination, supported by international commemoration and scholarly consensus.[1][2]","Far-right administrators on Croatian Wikipedia portrayed Jasenovac as merely a 'collection camp' or labor camp, significantly downplayed the number of victims by relying on right-wing media, private blogs, and figures like Roman Leljak, censored information on NDH war crimes, blocked editors attempting corrections, and dismissed mainstream historical accounts as propaganda.[1][3][4]",Croatia,2009–2021,"Simple English Wikipedia, “Croatian Wikipedia” section",manual,"[{""title"": ""Holocaust Denial - Jasenovac Section"", ""url"": ""https://en.wikipedia.org/wiki/Holocaust_denial"", ""verified"": false}, {""title"": ""United States Holocaust Memorial Museum - Jasenovac"", ""url"": ""https://encyclopedia.ushmm.org/content/en/article/jasenovac"", ""verified"": true}, {""title"": ""Jasenovac Memorial Site Official Report"", ""url"": ""https://www.jusp-jasenovac.hr/Default.aspx?sid=1"", ""verified"": false}]","[{""title"": ""Croatian Wikipedia Disinformation Assessment - Final Report (Wikimedia)"", ""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/14/Croatian_WP_Disinformation_Assessment_-_Final_Report_EN.pdf"", ""verified"": false}, {""title"": ""Requests for Comment: Site-wide Administrator Abuse on Croatian Wikipedia"", ""url"": ""https://meta.wikimedia.org/wiki/Requests_for_comment/Site-wide_administrator_abuse_and_WP:PILLARS_violations_on_the_Croatian_Wikipedia"", ""verified"": true}, {""title"": ""Croatian Wikipedia - Jasenovac Article (archived distortion example referenced)"", ""url"": ""https://en.wikipedia.org/wiki/Croatian_Wikipedia"", ""verified"": true}]"
426,Cambodian genocide denial by Western leftist academics,"The Cambodian genocide occurred from April 17, 1975, to January 7, 1979, when the Khmer Rouge regime, led by Pol Pot, seized control of Cambodia and implemented radical communist policies aimed at creating a classless agrarian society. The regime forcibly evacuated cities like Phnom Penh, subjected the population to forced labor in rural areas, abolished religion, family structures, and private property, and executed perceived enemies, including former officials, intellectuals, ethnic minorities such as Cham Muslims, Vietnamese, and Chinese Cambodians, and even Khmer Rouge members suspected of disloyalty. Prisons like Tuol Sleng (S-21) were used for torture and interrogation, with only a handful of survivors from over 20,000 detainees. Famine, disease, and exhaustion from mismanaged agriculture contributed to mass deaths. Estimates indicate 1.5 to 3 million people perished, representing 20-25% of Cambodia's population. The regime ended with a Vietnamese invasion in late 1978, leading to the fall of Phnom Penh in January 1979. Subsequent trials by the Extraordinary Chambers in the Courts of Cambodia (ECCC) convicted several leaders of genocide and crimes against humanity.[1][2][3][4]","Cambodian refugee testimonies of mass atrocities are exaggerated or fabricated, often influenced by Vietnamese propaganda or anti-Khmer Rouge bias. The high death toll under the Khmer Rouge resulted primarily from American bombing during the Vietnam War, economic sabotage by external imperialist forces, and a Vietnamese invasion, rather than systematic killings by the regime. Reports of genocide are unreliable, as they rely on unverified stories from refugees whose credibility is questionable, and the Khmer Rouge was implementing necessary agrarian reforms against counter-revolutionary elements.",Cambodia,1975–1979,"Simple English Wikipedia, “Cambodian genocide denial” section",manual,"[{""title"": ""Cambodia 1975\u20131979"", ""url"": ""https://www.ushmm.org/genocide-prevention/countries/cambodia/cambodia-1975"", ""verified"": true}, {""title"": ""Cambodian genocide - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Cambodian_genocide"", ""verified"": true}, {""title"": ""Cambodian Genocide Program, Yale University"", ""url"": ""https://macmillan.yale.edu/gsp/cambodian-genocide-program"", ""verified"": true}]","[{""title"": ""After Cambodia: The Sanctions Fiasco"", ""url"": ""https://www.nybooks.com/articles/1978/02/23/after-cambodia-the-sanctions-fiasco/"", ""verified"": false}, {""title"": ""Cambodia: Starvation or Genocide?"", ""url"": ""https://www.nybooks.com/articles/1977/11/24/cambodia-starvation-or-genocide/"", ""verified"": false}, {""title"": ""The Bloodiest Revolution in History"", ""url"": null, ""verified"": false}]"
427,Rwandan genocide denial by Edward S. Herman and David Peterson,"The Rwandan genocide, also known as the genocide against the Tutsi, occurred from April 7 to mid-July 1994 during the Rwandan Civil War. It was triggered by the April 6 plane crash that killed Rwandan Hutu President Juvénal Habyarimana and Burundian President Cyprien Ntaryamira. Extremist Hutu elements, including the Presidential Guard, Interahamwe militias, and local officials, systematically massacred approximately 800,000 people, primarily Tutsis but also moderate Hutus, over about 100 days using machetes, firearms, and other weapons. Radio Télévision Libre des Mille Collines (RTLM) incited the violence by broadcasting anti-Tutsi propaganda. The Rwandan Patriotic Front (RPF), a Tutsi-led rebel group, ended the genocide by capturing Kigali on July 4 and the rest of the country by July 18, leading to the flight of over two million Hutus to neighboring countries.","Edward S. Herman and David Peterson claimed that the Rwandan genocide narrative was exaggerated or fabricated by Western media and governments to serve geopolitical interests, particularly to justify support for the RPF and demonize the Hutu-led government. They denied that a genocide against Tutsis occurred, arguing instead that the mass deaths were primarily mutual killings or a 'double genocide' involving significant RPF atrocities against Hutus, and minimized the one-sided targeting and scale of the anti-Tutsi massacres.",Rwanda,1994,"Simple English Wikipedia, “Rwandan genocide denial” section",manual,"[{""title"": ""1994 genocide against the Tutsi in Rwanda - Historical Background"", ""url"": ""https://www.un.org/en/preventgenocide/rwanda/historical-background.shtml"", ""verified"": true}, {""title"": ""Rwanda genocide of 1994"", ""url"": ""https://www.britannica.com/event/Rwanda-genocide-of-1994"", ""verified"": true}, {""title"": ""Rwandan genocide - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Rwandan_genocide"", ""verified"": true}]","[{""title"": ""\""The Politics of Genocide\"" by Edward S. Herman and David Peterson (book, Monthly Review Press, 2011)"", ""url"": ""https://monthlyreview.org/product/politics_of_genocide/"", ""verified"": true}, {""title"": ""\""Enduring Lies: The Rwandan Genocide in the Propaganda System\"" by Edward S. Herman and David Peterson (PESAAG, 2007)"", ""url"": ""https://www.researchgate.net/publication/228466713_Enduring_Lies_The_Rwandan_Genocide_in_the_Propaganda_System"", ""verified"": false}, {""title"": ""\""The Dismantling of the Rwandan Genocide Narrative\"" by Edward S. Herman and David Peterson (Moonhenge Publications, 2012)"", ""url"": ""https://www.goodreads.com/book/show/13529088-the-dismantling-of-the-rwandan-genocide-narrative"", ""verified"": false}]"
428,Libel suit: Irving vs. Penguin Books/Deborah Lipstadt,"In 2000, British historian David Irving brought a libel suit in the High Court of Justice in London against American historian Deborah Lipstadt and her publisher Penguin Books. The suit arose from Lipstadt's 1994 book 'Denying the Holocaust,' which described Irving as a Holocaust denier who distorted historical evidence. Under English libel law, the burden was on the defendants to prove their statements substantially true. After a trial from January to April 2000 presided over by Mr. Justice Charles Gray, the court ruled in favor of Lipstadt and Penguin. The judgment found that Irving had deliberately misrepresented and manipulated historical evidence, particularly regarding the Holocaust, including the systematic use of gas chambers at Auschwitz for the murder of Jews. The court declared Irving an active Holocaust denier, antisemite, racist, and falsifier of history. Irving was ordered to pay substantial legal costs, leading to his bankruptcy upon enforcement.","David Irving, a reputable historian, sued Deborah Lipstadt and Penguin Books for defamation after they falsely labeled him a Holocaust denier and accused him of falsifying history. The court rejected these claims, vindicating Irving and confirming that his interpretations of Nazi-era evidence were legitimate and not distortions.",United Kingdom,2000,Irving v Penguin Books Ltd,manual,"[{""title"": ""Irving v Penguin Books Ltd"", ""url"": ""https://en.wikipedia.org/wiki/Irving_v_Penguin_Books_Ltd"", ""verified"": true}, {""title"": ""The Price of Truth \u2013 History on Trial: Deborah Lipstadt and the Libel Trial"", ""url"": ""https://www.historians.org/perspectives-article/the-price-of-truth-history-deborah-lipstadt-and-the-libel-trial-january-2002/"", ""verified"": true}, {""title"": ""Holocaust denial on trial: the story of Irving v Lipstadt"", ""url"": ""https://www.historyextra.com/period/second-world-war/holocaust-denial-trial-who-david-irving-deborah-lipstadt-richard-j-evans/"", ""verified"": true}]","[{""title"": ""David Irving loses libel case"", ""url"": ""http://fpp.co.uk/Irving/court/judgment.html"", ""verified"": false}, {""title"": ""Irving Wins Argument in Court on Some Points"", ""url"": ""http://fpp.co.uk/Irving/court/HighCourt/articles/Telegraph20000413.html"", ""verified"": false}, {""title"": ""Action Report"", ""url"": ""http://fpp.co.uk/online/00_04_13.html"", ""verified"": false}]"
429,Holocaust distortion attempts by Richard C. Lukas,"Scholars of the Holocaust and Polish–Jewish relations have shown that Richard C. Lukas’s work emphasizing widespread Polish suffering under German occupation and extensive Polish rescue efforts contains significant methodological and evidentiary problems. Academic critics (including David Engel and Jan Grabowski) have documented that Lukas often relied on selected witness statements and limited sources, overstated the scale of Polish rescue activity, and downplayed or minimized instances of Polish antisemitism and participation in violence against Jews during 1939–1945. Archival research and recent scholarship indicate a more complex picture in which many Poles suffered grievously under Nazi occupation, some Poles did help and rescue Jews, but there were also substantial and well-documented cases of antisemitism, collaboration with German perpetrators, denunciations, and participation in attacks on Jews; these findings are based on broader archival evidence, court records, local investigations, and systematic historical studies rather than the selective sample Lukas used.","Richard C. Lukas and his supporters claim that the dominant Holocaust historiography has ignored or minimized the suffering of ethnic Poles and that Poles and Jews were essentially coequal victims of Nazi policies; they argue that Polish suffering has been concealed by Jewish or ‘pro-Jewish’ historians and that Polish antisemitism and involvement in violence against Jews have been exaggerated. This revisionist narrative asserts that Polish rescuers were numerous and representative of the population, that instances of Polish betrayal or violence were rare or exceptional, and that critiques of Polish behavior during the occupation are ideologically motivated rather than based on solid archival evidence.",Poland,1939–1945,"Wikipedia: Denying History, Slavic Review critique of Lukas",manual,"[{""title"": ""David Engel replies to Richard C. Lukas"", ""url"": ""https://www.cambridge.org/core/journals/slavic-review/article/david-engel-replies-to-richard-c-lukas/80D67F1AD898E32D79EC21513C0B3456"", ""verified"": true}, {""title"": ""Jan T. Gross, Neighbors: The Destruction of the Jewish Community in Jedwabne, Poland"", ""url"": ""https://press.princeton.edu/books/paperback/9780691117727/neighbors"", ""verified"": false}, {""title"": ""Jan Grabowski, Hunt for the Jews: Betrayal and Murder in German-Occupied Poland"", ""url"": ""https://yalebooks.yale.edu/book/9780300206773/hunt-jews"", ""verified"": false}]","[{""title"": ""Richard C. Lukas \u2014 Official website (statements and summary of his arguments in The Forgotten Holocaust)"", ""url"": ""https://www.richardclukas.com"", ""verified"": false}, {""title"": ""The Forgotten Holocaust: The Poles Under German Occupation, 1939\u20131944 \u2014 Richard C. Lukas (book)"", ""url"": ""https://www.worldcat.org/title/forgotten-holocaust-the-poles-under-german-occupation-1939-1944/oclc/"", ""verified"": false}, {""title"": ""Book foreword and promotion citing Lukas\u2019s emphasis on Polish suffering (Poland & the Holocaust collection summary)"", ""url"": ""https://palalib.org/collection/poland/"", ""verified"": true}]"
430,Communist Historiography under Marxist-Leninist Rule in Czechoslovakia,"Under the Communist Party of Czechoslovakia (KSČ) rule from 1948 to 1989, historiography adhered strictly to Marxist-Leninist ideology. It framed the 1948 coup d'état and subsequent establishment of the socialist regime as the culmination of historical progress toward the dictatorship of the proletariat, portraying the people's democratic republic as a preliminary stage to full socialism and communism. This narrative justified the KSČ's leading role in the state, purged alternative bourgeois interpretations from historical scholarship, enforced ideological conformity through bureaucratic centralism, and integrated the regime into the Soviet-led Eastern Bloc via Comecon and the Warsaw Pact. Cultural and intellectual life was saturated with socialist realism, while dissidents faced persecution and suppression of non-conforming views.","The socialist revolution in Czechoslovakia marked the highest and most progressive stage of historical development, rendering the communist government and KSČ rule historically inevitable and superior to all prior systems. Alternative historical interpretations were dismissed as bourgeois distortions, with the Party's vanguard role legitimized as the natural outcome of class struggle leading to proletarian victory.",Czechoslovakia,1948–1989,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual,"[{""title"": ""History of Czechoslovakia (1948\u20131989)"", ""url"": ""https://en.wikipedia.org/wiki/History_of_Czechoslovakia_(1948%E2%80%931989)"", ""verified"": true}, {""title"": ""The Czechoslovak Socialist Republic (1948\u20131989)"", ""url"": ""https://scalar.usc.edu/works/dissolution-of-czechoslovakia/the-czechoslovak-socialist-republic-19481989"", ""verified"": true}, {""title"": ""Interpreting the Creation of Czechoslovakia between 1948 and 1989"", ""url"": ""https://www.sd.usd.cas.cz/pdfs/sod/2022/03/02.pdf"", ""verified"": false}]","[{""title"": ""Ninth-of-May Constitution (1948 Communist Constitution of Czechoslovakia)"", ""url"": ""https://en.wikipedia.org/wiki/History_of_Czechoslovakia_(1948%E2%80%931989)"", ""verified"": false}, {""title"": ""KS\u010c Party Program and Congress Documents (e.g., 1958 XI Congress formalizing Stalinism continuation)"", ""url"": ""https://en.wikipedia.org/wiki/History_of_Czechoslovakia_(1948%E2%80%931989)"", ""verified"": false}, {""title"": ""Rud\u00e9 pr\u00e1vo (Official KS\u010c Newspaper Articles on Historical Materialism and Socialist Progress)"", ""url"": ""https://en.wikipedia.org/wiki/Rud%C3%A9_pr%C3%A1vo"", ""verified"": false}]"
431,Prague Spring of 1968 Reinterpretation under Husák Regime,"The Prague Spring was a political liberalization and reform movement in Czechoslovakia from January to August 1968, led by Alexander Dubček after he replaced Antonín Novotný as First Secretary of the Communist Party. It aimed to establish 'socialism with a human face' through measures including the abolition of press censorship, expansion of freedom of speech and assembly, economic reforms, restoration of civic and individual rights, and internal critique within the Communist Party. Key developments included the resurgence of independent youth clubs, Boy Scouts, churches, and minority associations; the publication of the 'Two Thousand Words' manifesto urging mass action for democracy; and widespread public support. The movement ended with a Soviet-led Warsaw Pact invasion on August 20-21, 1968, involving forces from the Soviet Union, Poland, Hungary, and Bulgaria, which suppressed the reforms through occupation and forced Czechoslovak leaders to sign the Moscow Agreement.","The Husák regime, installed after the Soviet invasion, officially depicted the Prague Spring as a dangerous counter-revolution orchestrated and supported by Western imperialists and anti-socialist forces, rather than a legitimate reform effort. It suppressed public memory of the events, purged reformist leaders and supporters through processes like 'normalization,' labeled participants as traitors, and enforced a narrative that portrayed the Warsaw Pact intervention as a necessary fraternal assistance to prevent the country's slide into capitalism and restore socialist order.",Czechoslovakia,1968–1989,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual,"[{""title"": ""Prague Spring | Definition, Causes, & Facts"", ""url"": ""https://www.britannica.com/event/Prague-Spring"", ""verified"": true}, {""title"": ""Introduction: The Prague Spring and the Soviet-led Invasion of Czechoslovakia"", ""url"": ""https://pier21.ca/research/immigration-history/prague-spring-refugees"", ""verified"": true}, {""title"": ""Seven Days that Ended the Prague Spring"", ""url"": ""https://thenonviolenceproject.wisc.edu/2023/03/24/seven-days-that-ended-the-prague-spring/"", ""verified"": true}]","[{""title"": ""What is propaganda? IWitness activity for Czech students explores 1968 Prague Spring"", ""url"": ""https://sfi.usc.edu/news/2018/07/22551-what-propaganda-iwitness-activity-czech-students-explores-1968-prague-spring"", ""verified"": true}, {""title"": ""A Cold End to the Prague Spring"", ""url"": ""https://adst.org/2013/08/the-cold-end-to-the-prague-spring/"", ""verified"": true}, {""title"": ""Prague Spring | Definition, Causes, & Facts"", ""url"": ""https://www.britannica.com/event/Prague-Spring"", ""verified"": false}]"
432,Polish Institute of National Memory (IPN) and Restorative Nostalgia,"The Institute of National Remembrance (IPN) was established by the Polish parliament on 18 December 1998 through the Act on the Institute of National Remembrance, reforming and expanding the earlier Main Commission for the Investigation of Crimes against the Polish Nation. Its core mission is to investigate and prosecute Nazi and communist crimes committed between 8 November 1917 and 31 December 1989 (or 31 July 1990 in some formulations), document findings, archive records of the communist security apparatus from 1944 to 1989, educate the public on Poland's modern history, and promote patriotic traditions of resistance against occupiers during World War II and the communist period. In 2018, an amendment to the IPN Act expanded its mandate to include protecting the reputation of the Republic of Poland and the Polish Nation. The IPN conducts research, prosecutions, and public dissemination activities, including educational materials like games and exhibitions.[1][2]","The IPN, under conservative Law and Justice (PiS) governments since 2016, has been instrumentalized by conservative actors to promote restorative nostalgia, portraying the communist era as entirely criminal while idealizing nationalist resistance movements without acknowledging nuance, ambivalence, or Polish complicity in wartime or communist-era actions. It casts Poles exclusively as eternal victims and heroic freedom fighters, enforces 'memory laws' to suppress discussion of Polish collaboration with Nazis (such as in the Holocaust), and shapes public memory through politicized education to erase local responsibility.[3][5]",Poland,2005–2025,"Michal Kopeček, “In Search of National Memory,” in Past in the Making (CEU Press, 2008)",manual,"[{""title"": ""Institute of National Remembrance"", ""url"": ""https://en.wikipedia.org/wiki/Institute_of_National_Remembrance"", ""verified"": true}, {""title"": ""About the Institute"", ""url"": ""https://eng.ipn.gov.pl/en/about-the-institute"", ""verified"": true}, {""title"": ""Institute of National Remembrance"", ""url"": ""https://euroclio.eu/member/institute-of-national-remembrance/"", ""verified"": true}]","[{""title"": ""The Polish Institute of National Remembrance, or the danger of politicising history"", ""url"": ""https://kafkadeskdotorg.wordpress.com/2022/04/26/the-polish-institute-of-national-remembrance-or-the-danger-of-politicising-history/"", ""verified"": true}, {""title"": ""\u201cWe had to rewrite history\u201d: how Poland is using games to shape historical memory"", ""url"": ""https://notesfrompoland.com/2020/11/30/we-had-to-rewrite-history-how-poland-is-using-games-to-shape-historical-memory/"", ""verified"": true}, {""title"": ""Does the past have a future? Controversies surrounding Poland's IPN"", ""url"": ""https://www.polskieradio.pl/395/7784/artykul/3334732,does-the-past-have-a-future-controversies-surrounding-polands-ipn"", ""verified"": true}]"
