ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
247,Media Censorship of Holocaust Denial in Modern Germany,"Germany legally bans Holocaust denial, but far-right online forums and foreign publications still circulate denial material.","Neo-Nazis claim this is “censorship of historical debate,” framing criminal lies as intellectual freedom.",Germany,2020,Bellingcat; German Interior Ministry Reports,manual
248,Cultural Erasure of Pre-War Jewish Life,"Pre-Nazi Jewish life in Germany was vibrant and integrated; synagogues, publications, and cultural institutions thrived.",Postwar urban development and selective commemoration erased physical traces and reduced public memory to victimhood only.,Germany,1920,Jewish Museum Berlin; Before the Holocaust Exhibit,manual
249,Justification of GDR Reproductive Policy via Historical Framing,"GDR promoted abortion access but also used incentives and surveillance to push birthrates among “productive” citizens, claiming historical continuity with socialist values.","The regime framed demographic engineering as a women’s right, omitting its coercive and selective enforcement.",Germany,1972,"Harsch, D.; Revenge of the Domestic",manual
250,GDR Textbook Silence on Katyn Massacre,"The Soviet NKVD executed over 22,000 Polish officers in 1940, but GDR education mirrored Soviet denial, omitting it from history textbooks.","The GDR claimed Nazi Germany committed the massacre, following the USSR’s fabricated version until the late 1980s.",Germany,1980,"Applebaum, A.; Iron Curtain; GDR curriculum archives",manual
251,Japan's Invasion of Manchuria,"Japan engineered the Manchurian Incident in 1931 as a pretext for invading Manchuria. The Lytton Commission later confirmed it was premeditated aggression. Japan created the puppet state of Manchukuo to legitimize its occupation, violating China's sovereignty and international agreements.","The Japanese regime portrayed the invasion as necessary self-defense and a liberation effort for Manchuria’s people, framing the establishment of Manchukuo as a legitimate expression of local independence.",Japan,1931–1933,"A New Modern History of East Asia, ch. 5 (V&R Unipress, 2018)",manual
252,Nanjing Massacre,"After capturing Nanjing in December 1937, the Japanese army committed large-scale atrocities, including mass rape, looting, arson, and murder. International and Chinese war crimes tribunals documented over 200,000 deaths and widespread sexual violence, identifying it as a coordinated military operation.","Japanese right-wing groups and some officials denied the massacre or minimized its scale, claiming it was wartime propaganda or limited to isolated incidents by rogue soldiers.",Japan,1937–1938,"A New Modern History of East Asia, ch. 5 (V&R Unipress, 2018)",manual
253,Comfort Women System,"The Japanese military systematically forced women, mostly from Korea, China, and Southeast Asia, into sexual slavery at military brothels. The practice constituted a war crime, later recognized internationally as a crime against humanity. Survivors testified globally and legal cases were brought forward from the 1990s onward.","The Japanese government and nationalist factions have often claimed the women were voluntary prostitutes or recruited by private brokers, denying state responsibility and military coercion.",Japan,1932–1945,"A New Modern History of East Asia, ch. 9 (V&R Unipress, 2018)",manual
254,Yasukuni Shrine Enshrinement,"Yasukuni Shrine in Tokyo honors Japan’s war dead, including convicted Class A war criminals. Its associated museum glorifies militarism and omits atrocities. Over 21,000 Koreans and 27,000 Taiwanese are enshrined without their families' consent, leading to protests and lawsuits.","The Japanese state and shrine authorities present enshrinement as honoring fallen heroes equally, regardless of nationality, portraying this remembrance as apolitical and spiritually inclusive.",Japan,1945–2025,"A New Modern History of East Asia, ch. 8 (V&R Unipress, 2018)",manual
255,Annexation of Korea by Japan,"Japan formally annexed Korea in 1910 through the Japan-Korea Annexation Treaty, which was signed under coercion and without Korean public consent. The annexation dismantled Korean sovereignty and led to decades of cultural suppression, forced labor, and political repression under colonial rule.","Japanese imperial narratives portrayed the annexation as a legal and peaceful unification that brought modernization and order to Korea, claiming Koreans voluntarily accepted Japanese rule.",Japan,1910–1945,"A New Modern History of East Asia, ch. 2 (V&R Unipress, 2018)",manual
256,Suppression of Korean Language,"During its colonial rule, Japan imposed assimilation policies that banned Korean-language education in schools and replaced Korean with Japanese as the language of administration and instruction. This linguistic erasure aimed to eliminate Korean identity.","The Japanese colonial regime claimed that teaching Japanese was an educational benefit for Koreans, helping them become part of a modern empire and granting access to opportunities.",Japan,1930–1945,"A New Modern History of East Asia, ch. 3 (V&R Unipress, 2018)",manual
257,March 1st Movement in Korea,"The March 1st Movement of 1919 was a nationwide Korean uprising against Japanese colonial rule, sparked by Woodrow Wilson's rhetoric on self-determination. It was violently suppressed, with thousands arrested, tortured, and killed by Japanese forces.","The Japanese authorities dismissed the March 1st Movement as a minor riot instigated by agitators and communists, denying its scale and popular legitimacy.",Japan,1919,"A New Modern History of East Asia, ch. 3 (V&R Unipress, 2018)",manual
258,Japanese Textbook Whitewashing,"Post-war Japanese school textbooks have often omitted or softened discussions of wartime atrocities such as the Nanjing Massacre, comfort women, and colonial violence, triggering protests from neighboring countries.",Japanese nationalist groups claimed that revising textbooks was necessary to foster patriotic education and protect children from 'masochistic' views of history.,Japan,1982–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
259,Kwantung Army's Role in Manchuria,"The Kwantung Army acted autonomously in orchestrating the Mukden Incident and expanding Japanese control over Manchuria, defying civilian government orders. This exposed the breakdown of civilian-military control in pre-war Japan.",Imperial Japan later framed the military actions in Manchuria as spontaneous and necessary to protect Japanese citizens and interests from chaos in China.,Japan,1931,"A New Modern History of East Asia, ch. 5 (V&R Unipress, 2018)",manual
260,Unit 731 Human Experimentation,"Unit 731, operated by the Japanese Imperial Army in Manchuria, conducted lethal biological and chemical warfare experiments on Chinese civilians and prisoners. The program's war crimes were covered up post-war in exchange for data shared with U.S. authorities.","Japanese state narratives long ignored Unit 731, and right-wing commentators denied or justified the experiments as necessary military research during wartime.",Japan,1936–1945,"A New Modern History of East Asia, ch. 9 (V&R Unipress, 2018)",manual
261,Colonial Education in Taiwan,"Japanese rule in Taiwan introduced education reforms that promoted Japanese language, loyalty to the emperor, and imperial ideology. Native Taiwanese history and language were marginalized or banned.","The regime promoted its education system as a civilizing gift, claiming that Taiwanese children benefited from superior Japanese culture and instruction.",Japan,1895–1945,"A New Modern History of East Asia, ch. 2 (V&R Unipress, 2018)",manual
262,Sino-Japanese War Justifications,"Japan justified its invasion of China in 1937 as a necessary step to secure peace and regional stability, but the conflict was driven by expansionist ambitions and imperial control over East Asia.",Japanese official propaganda depicted the war as a defensive act against Chinese aggression and communist threats to regional order.,Japan,1937–1945,"A New Modern History of East Asia, ch. 6 (V&R Unipress, 2018)",manual
263,Emperor Hirohito's War Responsibility,"While Emperor Hirohito was not tried after World War II, historical evidence shows he was aware of and approved key military actions, including the attack on Pearl Harbor. His role has been downplayed in official Japanese narratives.","The postwar Japanese government and U.S. occupiers presented Hirohito as a powerless symbolic figure, uninvolved in military decisions, to stabilize Japan under a constitutional monarchy.",Japan,1937–1945,"A New Modern History of East Asia, ch. 7 (V&R Unipress, 2018)",manual
264,Postwar Japanese Victim Narrative,"Post-1945 Japanese public discourse has emphasized the suffering of civilians during the atomic bombings and firebombing raids, often sidelining Japan’s role as an aggressor in Asia and minimizing acknowledgment of war crimes.","The dominant narrative in textbooks and media emphasized Japan as a victim of American brutality, downplaying its wartime atrocities and responsibility toward other Asian nations.",Japan,1945–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
265,Pearl Harbor Attack Justification,"Japan's surprise attack on Pearl Harbor on December 7, 1941, was a strategic military decision to incapacitate the U.S. Pacific Fleet and secure imperial dominance in Southeast Asia. It was not provoked but based on calculated expansionist goals.","Japanese propaganda later framed the attack as a reluctant response to U.S. embargoes and military threats, casting Japan as a victim of Western encirclement.",Japan,1941,"A New Modern History of East Asia, ch. 7 (V&R Unipress, 2018)",manual
266,Greater East Asia Co-Prosperity Sphere,"This slogan was used by Japan to justify imperial expansion by promising mutual development among Asian nations. In practice, it served to mask military occupation, economic exploitation, and political control.",Japanese officials claimed the Sphere aimed to free Asia from Western imperialism and promote a harmonious regional order under Japanese leadership.,Japan,1930–1945,"A New Modern History of East Asia, ch. 6 (V&R Unipress, 2018)",manual
267,Postwar U.S.-Japan Security Alliance,"The U.S. established a military alliance with Japan during the occupation, embedding American bases and ensuring Japan’s strategic alignment in the Cold War. This reshaped Japan’s sovereignty and limited its military independence.","Official Japanese narratives emphasized the alliance as equal and voluntary, ignoring the power imbalance and long-term constraints imposed by U.S. policy.",Japan,1951–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
268,Repatriation of Japanese Settlers,"After Japan’s defeat in 1945, millions of Japanese settlers in Korea, Manchuria, and Taiwan were repatriated. Many left behind land and goods acquired under colonial regimes. Some faced retribution or hardship during the chaotic return.",Japanese narratives often focus solely on the suffering of repatriates while ignoring or justifying their prior roles in colonization and local exploitation.,Japan,1945–1950,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
269,Tokyo War Crimes Trials,"The International Military Tribunal for the Far East prosecuted top Japanese leaders for crimes against peace, war crimes, and crimes against humanity. While it established accountability, many Class B and C crimes went unpunished, and Emperor Hirohito was shielded.","Japanese nationalists portrayed the tribunal as victor’s justice, denying the legitimacy of the process and casting convicted leaders as martyrs.",Japan,1946–1948,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
270,San Francisco Peace Treaty,"The 1951 treaty formally ended the state of war and set the terms for Japan’s postwar sovereignty. It did not address reparations to many victimized nations, and several Asian countries were excluded from the negotiations.","Japanese official histories depict the treaty as a fair resolution and marker of Japan’s return to the international community, ignoring unresolved historical grievances.",Japan,1951,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
271,Buraku Discrimination in Japan,"Japan’s caste-like discrimination against the Buraku community persisted into the postwar era despite formal legal equality. Historical denial and social marginalization continue in housing, employment, and education.","Japanese narratives often ignore the existence of the Buraku issue, presenting postwar Japan as a fully homogeneous and egalitarian society.",Japan,1945–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
272,Japanese Wartime Mobilization of Koreans,"Under Japanese colonial rule, hundreds of thousands of Koreans were mobilized for labor, military service, and industrial production to support Japan’s war effort. Many were conscripted or coerced into dangerous conditions in mines, factories, and front lines.","Japanese official history often frames Korean mobilization as voluntary contribution by imperial subjects, omitting the coercion, discrimination, and exploitation involved.",Japan,1938–1945,"A New Modern History of East Asia, ch. 9 (V&R Unipress, 2018)",manual
273,Censorship in Colonial Korea,"Japanese authorities enforced strict censorship in colonial Korea, banning Korean publications, restricting newspapers, and persecuting intellectuals. Cultural expression was heavily regulated to suppress anti-colonial sentiment.","The regime claimed that media regulations were meant to ensure public order and promote modern values, denying the targeted suppression of Korean voices.",Japan,1910–1945,"A New Modern History of East Asia, ch. 3 (V&R Unipress, 2018)",manual
274,War Responsibility of Japanese Industry,"Major Japanese corporations such as Mitsubishi and Nippon Steel profited from wartime forced labor and military contracts. Survivors and historians have documented corporate complicity in war crimes, though few firms have issued formal apologies.","Japanese business history often omits the role of private industry in the war effort, portraying postwar recovery as detached from wartime exploitation.",Japan,1937–1945,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
275,Postwar Memory of Okinawa,Okinawans suffered disproportionately during the Battle of Okinawa and were often treated as expendable by both the U.S. and Japanese militaries. Postwar U.S. base presence and historical erasure further marginalized Okinawan perspectives.,"Japanese national narratives often depict Okinawa’s role as unified with the rest of Japan’s wartime sacrifice, downplaying local opposition to militarization and victimization by Japanese command.",Japan,1945–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
276,Denial of Colonial Violence in Textbooks,"Despite overwhelming evidence of massacres, forced labor, and torture during its imperial period, Japanese textbook revisions repeatedly downplayed colonial violence, using vague terms and euphemisms.","Revised textbooks present imperial expansion as peaceful coexistence and cultural exchange, framing Japan’s past as misunderstood or misrepresented by foreign critics.",Japan,1980–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
277,Sexual Slavery in Southeast Asia,"Women and girls from across Southeast Asia, including Indonesia and the Philippines, were abducted or deceived into Japanese military brothels. Many survivors faced lifelong trauma and state neglect after the war.","The Japanese regime and later officials often denied coercion, claiming the brothels were regulated and voluntary, or dismissing foreign testimonies as fabricated.",Japan,1937–1945,"A New Modern History of East Asia, ch. 9 (V&R Unipress, 2018)",manual
278,State Shinto and Imperial Cult,"The Japanese state promoted Shinto as a national religion centered on emperor worship, integrating it into education and civil rituals. This religious nationalism justified imperial expansion and suppressed other beliefs.","Postwar Japanese accounts have portrayed Shinto as a benign cultural tradition, minimizing its political function and enforced conformity under the prewar state.",Japan,1890–1945,"A New Modern History of East Asia, ch. 6 (V&R Unipress, 2018)",manual
279,Normalization of Japan–South Korea Relations,"The 1965 treaty restored diplomatic ties between Japan and South Korea but did not include individual compensation for wartime victims. Many survivors rejected the legitimacy of the agreement, which was negotiated without public input.","Japanese governments have portrayed the treaty as a final settlement, using it to deflect responsibility for unresolved historical grievances like forced labor and sexual slavery.",Japan,1965–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
280,Suppression of Anti-War Activism in Japan,"Throughout the postwar era, Japanese pacifist movements protested against remilitarization and U.S. bases. These activists faced surveillance, political marginalization, and textbook omission despite their role in shaping public discourse.","Official narratives largely ignore anti-war activism, framing postwar Japan as naturally pacifist without acknowledging the work of citizen movements in maintaining constitutional Article 9.",Japan,1947–2025,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
281,Japan’s Role in Cold War Asia,"Although constitutionally pacifist, Japan supported U.S. Cold War strategy through logistics, intelligence sharing, and economic policies that helped suppress communist movements in Asia. This alignment shaped regional geopolitics.","Japan portrayed itself as neutral and uninvolved in Cold War conflicts, masking its strategic support for Western military objectives and its economic complicity in U.S.-led anti-communist policies.",Japan,1950–1990,"A New Modern History of East Asia, ch. 10 (V&R Unipress, 2018)",manual
282,Erasure of Ainu Displacement and Forced Assimilation,"The Ainu were systematically displaced, their lands expropriated, and cultural practices banned through Meiji-era assimilation laws and postwar neglect.","Japanese textbooks long portrayed Hokkaido as ""uninhabited"" before settlement, minimizing or omitting Ainu cultural genocide.",Japan,1870–1970,"Siddle, R.; Race, Resistance and the Ainu of Japan",manual
283,Underreporting of Postwar American Censorship in Japan,"U.S. Occupation authorities censored reporting on Hiroshima/Nagasaki, blacklisted leftist writers, and banned criticism of Allied war conduct.","This censorship is rarely taught in schools, and the postwar era is framed solely as democratic rebirth, with no mention of American-imposed controls.",Japan,1945–1952,"Dower, J.W.; Embracing Defeat",manual
284,Sanitization of Nuclear Disaster Accountability,"The 2011 Fukushima disaster exposed regulatory failure and TEPCO’s negligence, but many school texts omit corporate-state collusion and political suppression of safety warnings.",Official narratives highlight “natural disaster” causes and focus on local resilience while downplaying systemic industrial and political failure.,Japan,2011,"Kingston, J.; Contemporary Japan",manual
285,Downplaying Anti-Vietnam War Protests in Japan,"1960s–70s Japanese youth led major protests against U.S. bases and Japan’s complicity in the Vietnam War, influencing postwar pacifist movements.","State narratives omit or trivialize these protests in education and media, portraying Japan as neutral during the Cold War era.",Japan,1960–1975,"Nozaki, Y.; War Memory, Nationalism and Education in Japan",manual
286,Concealment of Forced Sterilizations under Eugenic Laws,"Japan’s Eugenic Protection Law (1948–1996) led to 25,000+ forced sterilizations, mostly targeting women, disabled people, and ethnic minorities like Koreans.","Government denied wrongdoing for decades, and textbooks often omit this policy, framing population control as voluntary.",Japan,1948–1996,NHK reports; Asahi Shimbun investigations; Tokyo Bar Association,manual
287,Buraku Caste Discrimination in Postwar Memory,"Discrimination against Burakumin (descendants of feudal outcast communities) persists today in employment, marriage, and real estate — often unacknowledged in education or media.",The state claims discrimination has been “overcome” and omits Buraku issues from school curricula to preserve an image of social harmony.,Japan,1945–2025,"Amos, T.; Embodied Difference; Buraku Liberation League",manual
288,Okinawan Resistance to U.S. Military Presence,"Okinawa hosts 70% of U.S. military bases in Japan. Local protests and referendums repeatedly oppose expansion due to crime, noise, and land grabs — often ignored by Tokyo.","Government frames Okinawan opposition as fringe or anti-Japanese, erasing mass protests and suppressing historical memory of autonomy and WWII suffering.",Japan,1950–2025,"McCormack, G.; Ryukyu Shimpo; Okinawa Times",manual
289,Censorship of LGBTQ+ Rights History,"Japan has a rich premodern and postwar queer history, including writers like Mishima and lesbian movements, but state education erases or marginalizes these topics.","National narratives present Japan as “traditionally heterosexual” and claim LGBTQ+ issues are “Western imports,” limiting support for legal reforms.",Japan,1945–2025,"McLelland, M.; Queer Japan from the Pacific War to the Internet Age",manual
290,Suppression of Zainichi Korean Identity in Textbooks,"Generations of Korean residents in Japan have faced discrimination and erasure in history education, especially regarding colonial legacy and postwar marginalization.","Textbooks present Zainichi Koreans as outsiders or criminals, ignoring historical roots and civil rights struggles within Japanese society.",Japan,1945–2025,"Ryang, S.; Japan and National Anthropology",manual
291,Erasure of Japanese Asbestos Scandal,"Industrial asbestos use caused tens of thousands of premature deaths, but the government delayed regulation and still avoids full compensation to victims.","The disaster is rarely taught in schools and framed as an industrial accident, not a public health scandal with state complicity.",Japan,1950–2006,Asahi Shimbun; Japan Ministry of Health Reports,manual
292,Memory Hole of Japanese Mining Accidents,"Major mining disasters, such as the 1914 Hōzan explosion or 1963 Miike coal disaster, killed hundreds, often migrant or lower-caste workers — largely ignored in national history.",Textbooks highlight Japan’s industrial modernization but omit labor repression and poor worker safety during imperial and postwar expansion.,Japan,1900–1970,"Gordon, A.; Labor and Imperial Democracy in Prewar Japan",manual
293,Suppression of Student Radicalism in the 1970s,"Japanese university students led militant protests over education reform, U.S. military alliance, and social inequality. Crackdowns included arrests, surveillance, and infiltration.","State and media portray radicals as violent extremists without context, erasing intellectual roots of the movement.",Japan,1968–1980,"Oguma, E.; 1968: A Japanese Perspective",manual
294,Erasure of Nikkei Latin America Deportation,"During WWII, Japan coordinated with Axis powers to forcibly deport ethnic Japanese from Latin American countries to U.S. internment camps, which Japan never acknowledged or compensated.",Official memory excludes this diasporic tragedy and focuses only on Japanese-American internment.,Japan,1941–1945,"Masterson, D.; The Japanese in Latin America",manual
295,Minimization of Disability Rights Movement,"Disabled activists in Japan have protested institutionalization, forced sterilization, and exclusion from public spaces. Their history is rarely recognized in public education.","The government portrays Japan as a “caring society,” avoiding the uncomfortable history of segregation and neglect of disability rights.",Japan,1950–2025,"Hayashi, R.; The Disability Rights Movement in Japan",manual
296,Denial of Japanese Corporate Role in WWII Exploitation,"Firms like Mitsubishi and Sumitomo used Korean and Chinese forced labor during WWII. Few have issued apologies or reparations, and textbooks obscure these links.","Companies deny corporate guilt, while official narratives focus on postwar reconstruction, not wartime exploitation.",Japan,1930–1945,"Yoshida, T.; The Comfort Women Controversy; South Korean Court Records",manual
297,Romanticization of Rural “Self-Reliance” in Economic Policy,"The 1960s–80s “Depopulation policy” ignored rural poverty and led to infrastructure cuts in favor of Tokyo-centric growth, which caused outmigration and aging populations in remote regions.","Government framed this as necessary “modernization” and praised villagers’ “resilience,” masking inequality and state neglect.",Japan,1960–1980,"Feldhoff, T.; Rural Decline in Japan",manual
298,Surveillance and Harassment of Left-Wing Intellectuals,"Postwar Japan tracked leftist professors, writers, and activists via police intelligence sharing with the U.S. Some were blacklisted from jobs or publishing.","These programs remain classified, and the government denies systematic academic repression.",Japan,1950–1970,"Dower, J.W.; Japan Civil Liberties Union",manual
299,Downplaying of Gender Pay Gap and Workplace Inequality,"Despite high education levels, Japanese women face barriers to advancement, wage discrimination, and cultural expectations of family sacrifice.","State discourse claims gender equality is “improving steadily,” omitting systemic discrimination and cultural enforcement of gender roles.",Japan,1990–2025,Gender Equality Bureau; OECD Reports; Japan Subordinate Women,manual
300,Sanitization of Japanese Role in UN Peacekeeping Failures,"In some missions (e.g., South Sudan 2016), Japan Self-Defense Forces witnessed violence and human rights abuses but withheld reporting, leading to a major cover-up.","The Japanese government denied that troops were ever in danger or that serious abuses occurred, maintaining a narrative of successful peacekeeping.",Japan,2016,Japan Ministry of Defense Reports; NHK; The Diplomat,manual
301,Sékou Touré’s use of cultural demystification to assert power,"Between 1959 and 1961, Sékou Touré implemented a “demystification” program meant to “civilize” rural Guineans. In reality, it became an iconoclastic campaign that destroyed countless cultural objects and outlawed polytheistic religion and ethnic-specific traditions. A 1959 law banned “discriminatory cultural development,” criminalizing mask carving, ethnic literature, and traditional religious practice—thus suppressing diverse expressions and silencing dissent.","The regime portrayed demystification as a progressive reform aimed at rooting out “backward” traditions to foster modernization. It framed cultural erasure and repression of ethnic groups as necessary for building national unity and development, disguising authoritarian control as modern liberation.",Guinea,1959–1961,"1002321.pdf (OAPEN), pp. 19–20",manual
302,Guinea’s 1960 “Cultural Revolution”,"The 1960 Cultural Revolution in Guinea outlawed most traditional and ethnic customs, including music, art, and storytelling. Entire ethnic heritages such as those of the Baga and Kissi were suppressed. The state declared such expressions to be “tribalist” and replaced them with “revolutionary” cultural products.","The government claimed it was creating a unified national identity and claimed traditional culture was feudal and divisive. It promoted the idea that culture could only serve revolution and the party, erasing ethnic specificity as anti-national.",Guinea,1960,"1002321.pdf, p. 20",manual
303,Guinean State’s rewriting of slave history,The Guinean regime recast histories of internal African slavery to portray them as solely the fault of traditional authorities. It ignored the colonial and European participation in the slave trade and blamed local ethnic chiefs.,"The state narrative blamed only “reactionary” African chiefs for slavery, excluding European culpability and using this selective memory to justify political repression of traditional elites.",Guinea,1959–1965,"1002321.pdf, pp. 21–22",manual
304,Cultural repression of Fulani identity under Touré’s regime,"The Fulani ethnic group faced marginalization and repression under Sékou Touré, with their language and cultural symbols removed from public life. Traditional Fulani celebrations and oral traditions were banned or censored.","The regime claimed to be promoting national unity and ending ethnic favoritism but systematically erased Fulani identity, depicting them as “enemies of the revolution” and threats to state security.",Guinea,1960–1970,"1002321.pdf, p. 23",manual
305,State orchestration of youth anti-traditional violence,"The Guinean government formed militant youth groups who were encouraged to physically attack religious leaders, destroy shrines, and publicly shame elders who resisted the state’s modernist reforms. These actions were celebrated in official media.",The regime framed these youth actions as spontaneous revolutionary awakening and civic zeal. It denied state orchestration of violence and portrayed opposition as counter-revolutionary sabotage.,Guinea,1961–1965,"1002321.pdf, pp. 22–23",manual
306,Destruction of Islamic cultural sites under revolutionary rhetoric,"As part of secularization, mosques were destroyed or repurposed, imams arrested, and Qur’anic schools shut down. This was justified as revolutionary anti-clericalism, despite large Muslim populations relying on these institutions.","The regime framed Islam as a feudal or reactionary force and denied religious repression, insisting all citizens had religious freedom while persecuting Islamic leaders.",Guinea,1960s,"1002321.pdf, p. 22",manual
307,Redefinition of artistic performance under state control,Artists in Guinea were required to register with the party and perform only “revolutionary” songs and dances. Traditional praise-singing and ethnic storytelling were forbidden. Performances were vetted for ideological purity.,"The state claimed it was promoting culture and tradition, but in practice it censored ethnic expression and used performance as propaganda, suppressing artistic freedom and rebranding state-sponsored arts as authentic culture.",Guinea,1961–1975,"1002321.pdf, p. 24",manual
308,Elimination of griots and oral historians,"Griots, traditional West African oral historians and musicians, were accused of spreading tribalism and were forced to abandon their roles or reinterpret histories according to party lines. Many were imprisoned or silenced.","The regime accused griots of inciting ethnic division and declared oral history unreliable, replacing it with centrally approved narratives and outlawing many performances.",Guinea,1960–1970,"1002321.pdf, p. 25",manual
309,Suppression of pre-colonial monarchies,"Sékou Touré’s government outlawed references to former kingdoms like Fouta Djallon. Historical accounts were rewritten to portray monarchs as feudal exploiters, regardless of historical complexity.","The state dismissed monarchies as illegitimate and erased their role in regional governance, education, and religion. History was reduced to a binary between “revolutionary” and “reactionary.”",Guinea,1958–1971,"1002321.pdf, pp. 25–26",manual
310,Reeducation of rural populations through state media,"Radio and newspapers were used to redefine historical memory. For example, anti-colonial struggles were linked exclusively to the Party, and non-party figures were removed from textbooks and broadcasts.","History was presented as beginning with the revolution. Pre-party resistance movements, including contributions by non-Marxist or local leaders, were erased or reattributed to the PDG (Touré’s party), reinforcing the narrative that all legitimate action came from the Party.",Guinea,1960–1980,"1002321.pdf, p. 27",manual
311,Touré’s Demystification Campaign,"The demystification campaign launched by the PDG between 1959 and 1961 was an iconoclastic movement that destroyed centuries-old traditions. Soldiers were deployed to destroy ‘pagan’ material culture and forcibly convert villages to Islam or Christianity. Laws banned practices unique to specific ethnic groups, leading to the eradication of masks, literature, and polytheism.","The regime framed demystification as a progressive effort to eliminate backward, divisive customs and promised economic modernization. It was publicly justified as civilizing rural populations and promoting national unity and international trade.",Guinea,1959–1961,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
312,Criminalization of Ethnic Cultural Practices,"A 1959 law criminalized ‘discriminatory cultural development,’ banning practices tied to specific ethnic groups. It made polytheism, mask carving, and ethnically specific literature illegal, devastating local traditions. From the 1960s onward, it broadly suppressed freedom of expression and creative production.","The regime claimed the law fostered national unity and eliminated anti-Guinean, individualistic behavior. It was said to prevent fragmentation and encourage a single, modern national identity.",Guinea,1959–1970,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
313,Sékou Touré’s Cult of Personality through Art,"Touré transformed art into state propaganda. Creative expression was policed to promote Touré’s image, merging him with Samory Touré. Artistic depictions constructed Touré as a timeless national icon and spiritual successor of precolonial resistance, thus legitimizing his rule while suppressing dissenting voices.","Official culture celebrated Touré as a unifying nationalist leader whose image represented Guinean identity and resistance. His omnipresence in public art and festivals was portrayed as natural patriotism, not authoritarian propaganda.",Guinea,1960–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
314,Arrest and Erasure of Independent Artists,"Artists seen as “individualistic” or “non-genuine Guinean” were accused of conspiracy or assassination plots. Many were arrested, imprisoned, or executed. The regime fabricated plots to discredit dissenters and maintained mass paranoia through political repression masked as national security.",The PDG claimed artists and intellectuals who opposed cultural policy were traitors plotting against the state. Military intervention was justified as necessary to protect the nation from internal enemies.,Guinea,1960–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
315,Rewriting of Samory Touré’s Legacy,"Sékou Touré claimed biological and spiritual descent from Samory Touré, using this lineage to legitimize his authoritarian regime. He promoted public ceremonies, artworks, and propaganda linking his rule to the precolonial Wassoulou Empire, creating a fabricated mythos to mask dictatorship as historical continuity.",The regime taught that Touré was the reincarnation of Samory and that his rule was a natural return to Guinea’s golden age. This narrative erased contradictions and silenced scrutiny of Touré’s actual policies and abuses.,Guinea,1958–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
316,Demystification Campaign in Guinea,"Between 1959–1961, the PDG launched a demystification campaign aimed at eradicating indigenous cultural practices deemed ‘pagan’ or divisive. Guinean soldiers destroyed masks, temples, and material culture, and forcibly converted villagers to Islam or Christianity. A law criminalized ethnic cultural practices like mask carving and polytheism.","The regime presented demystification as a civilizing and modernizing mission, claiming it would unify the nation, eliminate backwardness, and promote economic development. Cultural traditions were labeled “individualistic” and “anti-Guinean,” and their destruction was framed as necessary for national unity.",Guinea,1959–1961,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
317,Artistic Persecution and Cultural Laws under Touré,Artists expressing independent or ethnically specific content were prosecuted as conspirators or enemies of the state. Many were falsely accused of assassination plots or coups. Cultural production was strictly controlled through laws against “discriminatory cultural development.”,"The regime portrayed artists critical of the state as anti-nationalist or as participants in foreign-backed plots. Artistic dissent was framed as a betrayal of national unity, justifying censorship, imprisonment, and executions in the name of defending revolutionary values.",Guinea,1960–1970,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
318,Cult of Personality through Art and Imagery,"Sékou Touré’s regime flooded public space with his portraits, which symbolized both national unity and religious authority. Touré was likened to divine figures like the Archangel Michael and the Prophet Mohammed. Touré’s image became a ubiquitous symbol used to enforce loyalty and define ‘true’ Guinean identity.","The regime claimed Touré’s cultural dominance was a reflection of national consensus and spiritual leadership. By equating Touré with divine and heroic figures, the state erased dissent and constructed a singular nationalist mythology in which Touré stood for the state and the people.",Guinea,1960–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
